line,station,direction,day_type,time,dest,remark
南北線,さっぽろ,麻生方面,weekday,00:00,麻生行き,
南北線,さっぽろ,麻生方面,weekday,00:09,麻生行き,
南北線,さっぽろ,麻生方面,weekday,00:18,麻生行き,
南北線,さっぽろ,麻生方面,weekday,06:18,麻生行き,
南北線,さっぽろ,麻生方面,weekday,06:28,麻生行き,
南北線,さっぽろ,麻生方面,weekday,06:38,麻生行き,
南北線,さっぽろ,麻生方面,weekday,06:48,麻生行き,
南北線,さっぽろ,麻生方面,weekday,06:55,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:03,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:10,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:16,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:22,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:26,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:30,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:35,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:39,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:43,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:48,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:52,麻生行き,
南北線,さっぽろ,麻生方面,weekday,07:56,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:00,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:05,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:09,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:13,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:17,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:21,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:25,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:29,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:33,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:37,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:41,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:46,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:50,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:54,麻生行き,
南北線,さっぽろ,麻生方面,weekday,08:58,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:02,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:06,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:10,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:14,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:18,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:22,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:27,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:32,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:38,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:45,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:52,麻生行き,
南北線,さっぽろ,麻生方面,weekday,09:59,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:07,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:14,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:20,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:28,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:35,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:42,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:49,麻生行き,
南北線,さっぽろ,麻生方面,weekday,10:56,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:03,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:10,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:17,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:24,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:31,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:38,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:45,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:52,麻生行き,
南北線,さっぽろ,麻生方面,weekday,11:59,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:06,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:13,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:20,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:27,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:34,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:41,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:48,麻生行き,
南北線,さっぽろ,麻生方面,weekday,12:55,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:02,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:09,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:16,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:23,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:30,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:37,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:44,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:51,麻生行き,
南北線,さっぽろ,麻生方面,weekday,13:58,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:05,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:12,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:19,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:26,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:33,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:40,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:47,麻生行き,
南北線,さっぽろ,麻生方面,weekday,14:54,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:01,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:08,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:15,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:22,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:29,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:36,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:43,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:50,麻生行き,
南北線,さっぽろ,麻生方面,weekday,15:57,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:04,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:11,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:18,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:24,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:29,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:34,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:39,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:44,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:49,麻生行き,
南北線,さっぽろ,麻生方面,weekday,16:55,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:00,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:05,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:11,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:16,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:21,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:26,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:31,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:36,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:41,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:47,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:52,麻生行き,
南北線,さっぽろ,麻生方面,weekday,17:57,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:02,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:07,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:12,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:18,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:23,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:28,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:33,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:38,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:43,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:48,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:53,麻生行き,
南北線,さっぽろ,麻生方面,weekday,18:59,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:04,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:09,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:14,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:19,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:25,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:31,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:35,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:39,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:47,麻生行き,
南北線,さっぽろ,麻生方面,weekday,19:55,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:03,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:11,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:19,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:27,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:35,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:43,麻生行き,
南北線,さっぽろ,麻生方面,weekday,20:52,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:00,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:08,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:16,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:24,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:32,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:40,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:48,麻生行き,
南北線,さっぽろ,麻生方面,weekday,21:56,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:04,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:12,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:20,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:28,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:36,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:44,麻生行き,
南北線,さっぽろ,麻生方面,weekday,22:53,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:01,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:10,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:17,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:25,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:33,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:41,麻生行き,
南北線,さっぽろ,麻生方面,weekday,23:50,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,00:00,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,00:09,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,00:18,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,06:18,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,06:28,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,06:38,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,06:48,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,06:55,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,07:03,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,07:10,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,07:16,麻生行き,
南北線,さっぽろ,麻生方面,weekend_holiday,07:22,麻生行き,
