line,station,direction,day_type,time,dest,remark
南北線,大通,真駒内方面,weekday,06:11,真駒内行き,
南北線,大通,真駒内方面,weekday,06:21,真駒内行き,
南北線,大通,真駒内方面,weekday,06:31,真駒内行き,
南北線,大通,真駒内方面,weekday,06:41,真駒内行き,
南北線,大通,真駒内方面,weekday,06:50,真駒内行き,
南北線,大通,真駒内方面,weekday,06:59,真駒内行き,
南北線,大通,真駒内方面,weekday,07:08,真駒内行き,
南北線,大通,真駒内方面,weekday,07:17,真駒内行き,
南北線,大通,真駒内方面,weekday,07:25,真駒内行き,
南北線,大通,真駒内方面,weekday,07:32,真駒内行き,
南北線,大通,真駒内方面,weekday,07:36,真駒内行き,
南北線,大通,真駒内方面,weekday,07:40,真駒内行き,
南北線,大通,真駒内方面,weekday,07:44,真駒内行き,
南北線,大通,真駒内方面,weekday,07:48,真駒内行き,
南北線,大通,真駒内方面,weekday,07:52,真駒内行き,
南北線,大通,真駒内方面,weekday,07:56,真駒内行き,
南北線,大通,真駒内方面,weekday,08:01,真駒内行き,
南北線,大通,真駒内方面,weekday,08:05,真駒内行き,
南北線,大通,真駒内方面,weekday,08:09,真駒内行き,
南北線,大通,真駒内方面,weekday,08:13,真駒内行き,
南北線,大通,真駒内方面,weekday,08:18,真駒内行き,
南北線,大通,真駒内方面,weekday,08:22,真駒内行き,
南北線,大通,真駒内方面,weekday,08:26,真駒内行き,
南北線,大通,真駒内方面,weekday,08:30,真駒内行き,
南北線,大通,真駒内方面,weekday,08:34,真駒内行き,
南北線,大通,真駒内方面,weekday,08:38,真駒内行き,
南北線,大通,真駒内方面,weekday,08:42,真駒内行き,
南北線,大通,真駒内方面,weekday,08:47,真駒内行き,
南北線,大通,真駒内方面,weekday,08:51,真駒内行き,
南北線,大通,真駒内方面,weekday,08:55,真駒内行き,
南北線,大通,真駒内方面,weekday,08:59,自衛隊前行き,
南北線,大通,真駒内方面,weekday,09:03,真駒内行き,
南北線,大通,真駒内方面,weekday,09:07,真駒内行き,
南北線,大通,真駒内方面,weekday,09:11,自衛隊前行き,
南北線,大通,真駒内方面,weekday,09:16,真駒内行き,
南北線,大通,真駒内方面,weekday,09:20,自衛隊前行き,
南北線,大通,真駒内方面,weekday,09:24,真駒内行き,
南北線,大通,真駒内方面,weekday,09:28,真駒内行き,
南北線,大通,真駒内方面,weekday,09:32,真駒内行き,
南北線,大通,真駒内方面,weekday,09:36,自衛隊前行き,
南北線,大通,真駒内方面,weekday,09:40,真駒内行き,
南北線,大通,真駒内方面,weekday,09:44,自衛隊前行き,
南北線,大通,真駒内方面,weekday,09:48,真駒内行き,
南北線,大通,真駒内方面,weekday,09:53,真駒内行き,
南北線,大通,真駒内方面,weekday,10:00,真駒内行き,
南北線,大通,真駒内方面,weekday,10:07,真駒内行き,
南北線,大通,真駒内方面,weekday,10:14,真駒内行き,
南北線,大通,真駒内方面,weekday,10:21,真駒内行き,
南北線,大通,真駒内方面,weekday,10:28,真駒内行き,
南北線,大通,真駒内方面,weekday,10:35,真駒内行き,
南北線,大通,真駒内方面,weekday,10:42,真駒内行き,
南北線,大通,真駒内方面,weekday,10:49,真駒内行き,
南北線,大通,真駒内方面,weekday,10:56,真駒内行き,
南北線,大通,真駒内方面,weekday,11:03,真駒内行き,
南北線,大通,真駒内方面,weekday,11:10,真駒内行き,
南北線,大通,真駒内方面,weekday,11:17,真駒内行き,
南北線,大通,真駒内方面,weekday,11:24,真駒内行き,
南北線,大通,真駒内方面,weekday,11:31,真駒内行き,
南北線,大通,真駒内方面,weekday,11:38,真駒内行き,
南北線,大通,真駒内方面,weekday,11:45,真駒内行き,
南北線,大通,真駒内方面,weekday,11:52,真駒内行き,
南北線,大通,真駒内方面,weekday,11:59,真駒内行き,
南北線,大通,真駒内方面,weekday,12:06,真駒内行き,
南北線,大通,真駒内方面,weekday,12:13,真駒内行き,
南北線,大通,真駒内方面,weekday,12:20,真駒内行き,
南北線,大通,真駒内方面,weekday,12:27,真駒内行き,
南北線,大通,真駒内方面,weekday,12:34,真駒内行き,
南北線,大通,真駒内方面,weekday,12:41,真駒内行き,
南北線,大通,真駒内方面,weekday,12:48,真駒内行き,
南北線,大通,真駒内方面,weekday,12:55,真駒内行き,
南北線,大通,真駒内方面,weekday,13:02,真駒内行き,
南北線,大通,真駒内方面,weekday,13:09,真駒内行き,
南北線,大通,真駒内方面,weekday,13:16,真駒内行き,
南北線,大通,真駒内方面,weekday,13:23,真駒内行き,
南北線,大通,真駒内方面,weekday,13:30,真駒内行き,
南北線,大通,真駒内方面,weekday,13:37,真駒内行き,
南北線,大通,真駒内方面,weekday,13:44,真駒内行き,
南北線,大通,真駒内方面,weekday,13:51,真駒内行き,
南北線,大通,真駒内方面,weekday,13:58,真駒内行き,
南北線,大通,真駒内方面,weekday,14:05,真駒内行き,
南北線,大通,真駒内方面,weekday,14:12,真駒内行き,
南北線,大通,真駒内方面,weekday,14:19,真駒内行き,
南北線,大通,真駒内方面,weekday,14:26,真駒内行き,
南北線,大通,真駒内方面,weekday,14:33,真駒内行き,
南北線,大通,真駒内方面,weekday,14:40,真駒内行き,
南北線,大通,真駒内方面,weekday,14:47,真駒内行き,
南北線,大通,真駒内方面,weekday,14:54,真駒内行き,
南北線,大通,真駒内方面,weekday,15:01,真駒内行き,
南北線,大通,真駒内方面,weekday,15:08,真駒内行き,
南北線,大通,真駒内方面,weekday,15:15,真駒内行き,
南北線,大通,真駒内方面,weekday,15:22,真駒内行き,
南北線,大通,真駒内方面,weekday,15:29,真駒内行き,
南北線,大通,真駒内方面,weekday,15:36,真駒内行き,
南北線,大通,真駒内方面,weekday,15:43,真駒内行き,
南北線,大通,真駒内方面,weekday,15:50,真駒内行き,
南北線,大通,真駒内方面,weekday,15:57,真駒内行き,
南北線,大通,真駒内方面,weekday,16:04,真駒内行き,
南北線,大通,真駒内方面,weekday,16:12,真駒内行き,
南北線,大通,真駒内方面,weekday,16:19,真駒内行き,
南北線,大通,真駒内方面,weekday,16:26,真駒内行き,
南北線,大通,真駒内方面,weekday,16:33,真駒内行き,
南北線,大通,真駒内方面,weekday,16:40,真駒内行き,
南北線,大通,真駒内方面,weekday,16:46,真駒内行き,
南北線,大通,真駒内方面,weekday,16:51,真駒内行き,
南北線,大通,真駒内方面,weekday,16:56,真駒内行き,
