line,station,direction,day_type,time,dest,remark
南北線,大通,麻生方面,weekday,06:16,麻生行き,
南北線,大通,麻生方面,weekday,06:26,麻生行き,
南北線,大通,麻生方面,weekday,06:36,麻生行き,
南北線,大通,麻生方面,weekday,06:46,麻生行き,
南北線,大通,麻生方面,weekday,06:54,麻生行き,
南北線,大通,麻生方面,weekday,07:01,麻生行き,
南北線,大通,麻生方面,weekday,07:07,麻生行き,
南北線,大通,麻生方面,weekday,07:14,麻生行き,
南北線,大通,麻生方面,weekday,07:20,麻生行き,
南北線,大通,麻生方面,weekday,07:26,麻生行き,
南北線,大通,麻生方面,weekday,07:31,麻生行き,
南北線,大通,麻生方面,weekday,07:36,麻生行き,
南北線,大通,麻生方面,weekday,07:40,麻生行き,
南北線,大通,麻生方面,weekday,07:44,麻生行き,
南北線,大通,麻生方面,weekday,07:48,麻生行き,
南北線,大通,麻生方面,weekday,07:52,麻生行き,
南北線,大通,麻生方面,weekday,07:56,麻生行き,
南北線,大通,麻生方面,weekday,08:00,麻生行き,
南北線,大通,麻生方面,weekday,08:04,麻生行き,
南北線,大通,麻生方面,weekday,08:08,麻生行き,
南北線,大通,麻生方面,weekday,08:12,麻生行き,
南北線,大通,麻生方面,weekday,08:16,麻生行き,
南北線,大通,麻生方面,weekday,08:20,麻生行き,
南北線,大通,麻生方面,weekday,08:24,麻生行き,
南北線,大通,麻生方面,weekday,08:28,麻生行き,
南北線,大通,麻生方面,weekday,08:32,麻生行き,
南北線,大通,麻生方面,weekday,08:36,麻生行き,
南北線,大通,麻生方面,weekday,08:40,麻生行き,
南北線,大通,麻生方面,weekday,08:44,麻生行き,
南北線,大通,麻生方面,weekday,08:48,麻生行き,
南北線,大通,麻生方面,weekday,08:52,麻生行き,
南北線,大通,麻生方面,weekday,08:56,麻生行き,
南北線,大通,麻生方面,weekday,09:00,麻生行き,
南北線,大通,麻生方面,weekday,09:04,麻生行き,
南北線,大通,麻生方面,weekday,09:08,麻生行き,
南北線,大通,麻生方面,weekday,09:12,麻生行き,
南北線,大通,麻生方面,weekday,09:16,麻生行き,
南北線,大通,麻生方面,weekday,09:20,麻生行き,
南北線,大通,麻生方面,weekday,09:24,麻生行き,
南北線,大通,麻生方面,weekday,09:28,麻生行き,
南北線,大通,麻生方面,weekday,09:32,麻生行き,
南北線,大通,麻生方面,weekday,09:36,麻生行き,
南北線,大通,麻生方面,weekday,09:40,麻生行き,
南北線,大通,麻生方面,weekday,09:44,麻生行き,
南北線,大通,麻生方面,weekday,09:48,麻生行き,
南北線,大通,麻生方面,weekday,09:52,麻生行き,
南北線,大通,麻生方面,weekday,09:56,麻生行き,
南北線,大通,麻生方面,weekday,10:00,麻生行き,
南北線,大通,麻生方面,weekday,10:07,麻生行き,
南北線,大通,麻生方面,weekday,10:14,麻生行き,
南北線,大通,麻生方面,weekday,10:21,麻生行き,
南北線,大通,麻生方面,weekday,10:28,麻生行き,
南北線,大通,麻生方面,weekday,10:35,麻生行き,
南北線,大通,麻生方面,weekday,10:42,麻生行き,
南北線,大通,麻生方面,weekday,10:49,麻生行き,
南北線,大通,麻生方面,weekday,10:56,麻生行き,
南北線,大通,麻生方面,weekday,11:03,麻生行き,
南北線,大通,麻生方面,weekday,11:10,麻生行き,
南北線,大通,麻生方面,weekday,11:17,麻生行き,
南北線,大通,麻生方面,weekday,11:24,麻生行き,
南北線,大通,麻生方面,weekday,11:31,麻生行き,
南北線,大通,麻生方面,weekday,11:38,麻生行き,
南北線,大通,麻生方面,weekday,11:45,麻生行き,
南北線,大通,麻生方面,weekday,11:52,麻生行き,
南北線,大通,麻生方面,weekday,11:59,麻生行き,
南北線,大通,麻生方面,weekday,12:06,麻生行き,
南北線,大通,麻生方面,weekday,12:13,麻生行き,
南北線,大通,麻生方面,weekday,12:20,麻生行き,
南北線,大通,麻生方面,weekday,12:27,麻生行き,
南北線,大通,麻生方面,weekday,12:34,麻生行き,
南北線,大通,麻生方面,weekday,12:41,麻生行き,
南北線,大通,麻生方面,weekday,12:48,麻生行き,
南北線,大通,麻生方面,weekday,12:55,麻生行き,
南北線,大通,麻生方面,weekday,13:02,麻生行き,
南北線,大通,麻生方面,weekday,13:09,麻生行き,
南北線,大通,麻生方面,weekday,13:16,麻生行き,
南北線,大通,麻生方面,weekday,13:23,麻生行き,
南北線,大通,麻生方面,weekday,13:30,麻生行き,
南北線,大通,麻生方面,weekday,13:37,麻生行き,
南北線,大通,麻生方面,weekday,13:44,麻生行き,
南北線,大通,麻生方面,weekday,13:51,麻生行き,
南北線,大通,麻生方面,weekday,13:58,麻生行き,
南北線,大通,麻生方面,weekday,14:05,麻生行き,
南北線,大通,麻生方面,weekday,14:12,麻生行き,
南北線,大通,麻生方面,weekday,14:19,麻生行き,
南北線,大通,麻生方面,weekday,14:26,麻生行き,
南北線,大通,麻生方面,weekday,14:33,麻生行き,
南北線,大通,麻生方面,weekday,14:40,麻生行き,
南北線,大通,麻生方面,weekday,14:47,麻生行き,
南北線,大通,麻生方面,weekday,14:54,麻生行き,
南北線,大通,麻生方面,weekday,15:01,麻生行き,
南北線,大通,麻生方面,weekday,15:08,麻生行き,
南北線,大通,麻生方面,weekday,15:15,麻生行き,
南北線,大通,麻生方面,weekday,15:22,麻生行き,
南北線,大通,麻生方面,weekday,15:29,麻生行き,
南北線,大通,麻生方面,weekday,15:36,麻生行き,
南北線,大通,麻生方面,weekday,15:43,麻生行き,
南北線,大通,麻生方面,weekday,15:50,麻生行き,
南北線,大通,麻生方面,weekday,15:57,麻生行き,
南北線,大通,麻生方面,weekday,16:04,麻生行き,
南北線,大通,麻生方面,weekday,16:11,麻生行き,
南北線,大通,麻生方面,weekday,16:18,麻生行き,
南北線,大通,麻生方面,weekday,16:25,麻生行き,
南北線,大通,麻生方面,weekday,16:32,麻生行き,
南北線,大通,麻生方面,weekday,16:39,麻生行き,
南北線,大通,麻生方面,weekday,16:46,麻生行き,
南北線,大通,麻生方面,weekday,16:53,麻生行き,
南北線,大通,麻生方面,weekday,17:00,麻生行き,
南北線,大通,麻生方面,weekday,17:07,麻生行き,
南北線,大通,麻生方面,weekday,17:14,麻生行き,
南北線,大通,麻生方面,weekday,17:21,麻生行き,
南北線,大通,麻生方面,weekday,17:28,麻生行き,
南北線,大通,麻生方面,weekday,17:35,麻生行き,
南北線,大通,麻生方面,weekday,17:42,麻生行き,
南北線,大通,麻生方面,weekday,17:49,麻生行き,
南北線,大通,麻生方面,weekday,17:56,麻生行き,
南北線,大通,麻生方面,weekday,18:03,麻生行き,
南北線,大通,麻生方面,weekday,18:10,麻生行き,
南北線,大通,麻生方面,weekday,18:17,麻生行き,
南北線,大通,麻生方面,weekday,18:24,麻生行き,
南北線,大通,麻生方面,weekday,18:31,麻生行き,
南北線,大通,麻生方面,weekday,18:38,麻生行き,
南北線,大通,麻生方面,weekday,18:45,麻生行き,
南北線,大通,麻生方面,weekday,18:52,麻生行き,
南北線,大通,麻生方面,weekday,18:59,麻生行き,
南北線,大通,麻生方面,weekday,19:06,麻生行き,
南北線,大通,麻生方面,weekday,19:13,麻生行き,
南北線,大通,麻生方面,weekday,19:20,麻生行き,
南北線,大通,麻生方面,weekday,19:27,麻生行き,
南北線,大通,麻生方面,weekday,19:34,麻生行き,
南北線,大通,麻生方面,weekday,19:41,麻生行き,
南北線,大通,麻生方面,weekday,19:48,麻生行き,
南北線,大通,麻生方面,weekday,19:55,麻生行き,
南北線,大通,麻生方面,weekday,20:02,麻生行き,
南北線,大通,麻生方面,weekday,20:10,麻生行き,
南北線,大通,麻生方面,weekday,20:18,麻生行き,
南北線,大通,麻生方面,weekday,20:26,麻生行き,
南北線,大通,麻生方面,weekday,20:34,麻生行き,
南北線,大通,麻生方面,weekday,20:42,麻生行き,
南北線,大通,麻生方面,weekday,20:50,麻生行き,
